DIVIPOLA,DESPLAZADOS
5001,6874
5002,43
5004,3
5030,102
5031,144
5034,131
5036,18
5038,79
5040,226
5042,43
5044,13
5045,821
5051,101
5055,44
5059,22
5079,125
5086,11
5088,800
5091,16
5093,41
5101,70
5107,353
5113,64
5120,850
5125,73
5129,84
5134,130
5138,111
5142,6
5145,5
5147,419
5148,70
5150,4
5154,793
5172,496
5190,31
5197,79
5209,30
5212,59
5234,180
5237,31
5240,21
5250,1336
5264,20
5266,15
5282,33
5284,67
5306,21
5308,94
5310,19
5313,33
5315,33
5318,30
5321,3
5347,25
5353,8
5360,205
5361,495
5364,37
5368,1
5376,16
5380,28
5390,24
5400,8
5411,14
5425,29
5440,42
5467,25
5475,27
5480,208
5483,101
5490,173
5495,285
5501,10
5541,35
5543,55
5576,8
5579,391
5585,56
5591,19
5604,215
5615,119
5628,127
5631,12
5642,107
5647,128
5649,40
5652,41
5656,8
5658,1
5659,121
5660,14
5664,75
5665,144
5667,14
5670,55
5674,23
5679,55
5686,67
5690,86
5697,7
5736,542
5756,96
5761,45
5789,10
5790,1064
5809,30
5819,89
5837,1512
5842,59
5847,272
5854,338
5856,9
5858,123
5861,14
5873,138
5885,16
5887,325
5890,53
5893,61
5895,540
8001,208
8078,22
8137,4
8141,5
8296,22
8421,27
8433,43
8436,4
8520,2
8549,12
8573,21
8634,8
8638,37
8675,2
8758,178
8770,8
11001,432
13001,315
13006,516
13030,42
13042,129
13052,36
13074,99
13140,32
13160,72
13188,4
13212,23
13222,8
13244,98
13248,9
13268,15
13300,9
13430,151
13433,11
13440,30
13442,59
13458,812
13468,39
13473,255
13490,229
13549,135
13580,15
13600,116
13647,8
13650,10
13654,19
13655,22
13657,22
13667,67
13670,281
13673,3
13683,229
13688,479
13744,111
13760,7
13810,324
13836,29
13838,4
13873,5
13894,11
15001,17
15047,20
15087,3
15097,1
15104,2
15106,7
15176,8
15180,7
15183,21
15185,1
15223,28
15224,2
15238,9
15244,2
15317,4
15368,2
15377,17
15425,2
15442,6
15480,15
15491,5
15507,29
15518,6
15522,1
15531,8
15533,7
15550,23
15572,163
15580,3
15599,4
15600,4
15632,4
15681,6
15693,6
15753,1
15755,21
15757,4
15759,17
15774,2
15816,3
15820,2
15837,3
15839,1
15897,1
17001,109
17013,11
17042,40
17050,7
17088,32
17174,39
17272,29
17380,151
17388,5
17433,9
17442,35
17444,27
17486,22
17495,23
17524,31
17541,72
17614,81
17616,17
17653,16
17662,94
17665,18
17777,40
17867,15
17873,13
17877,15
18001,1305
18029,89
18094,265
18150,1352
18205,323
18247,425
18256,358
18410,1049
18460,638
18479,84
18592,1015
18610,540
18753,2073
18756,679
18785,342
18860,273
19001,342
19022,300
19050,1386
19075,503
19100,962
19110,253
19130,400
19137,173
19142,275
19212,333
19256,1866
19290,148
19300,18
19318,2507
19355,259
19364,58
19392,205
19397,966
19418,918
19450,333
19455,202
19473,613
19513,22
19517,185
19532,674
19533,321
19548,111
19573,140
19585,34
19622,123
19693,234
19698,406
19701,175
19743,124
19760,102
19780,602
19785,222
19807,223
19809,1262
19821,530
19824,70
19845,23
20001,283
20011,167
20013,110
20032,19
20045,26
20060,29
20175,66
20178,112
20228,112
20238,70
20250,292
20295,25
20310,14
20383,15
20400,36
20443,9
20517,68
20550,43
20570,22
20614,43
20621,207
20710,54
20750,172
20770,96
20787,91
23001,425
23068,435
23079,70
23090,95
23162,38
23168,4
23182,8
23189,27
23300,7
23350,73
23417,139
23419,64
23464,5
23466,562
23500,84
23555,195
23570,127
23574,68
23580,2190
23586,8
23660,49
23670,39
23672,30
23675,121
23678,26
23682,64
23686,80
23807,873
23815,16
23855,236
25001,2
25019,10
25035,3
25053,7
25086,1
25120,32
25148,11
25168,5
25178,3
25224,5
25245,19
25269,16
25279,1
25286,2
25290,45
25293,1
25297,2
25307,21
25317,4
25320,21
25322,6
25324,15
25335,4
25339,11
25368,4
25386,11
25394,47
25398,4
25407,5
25430,8
25438,18
25473,10
25489,4
25491,3
25506,31
25513,14
25518,9
25524,12
25530,3
25535,28
25572,19
25580,4
25596,4
25599,22
25649,12
25662,15
25718,3
25743,32
25754,261
25793,6
25799,7
25805,13
25815,8
25823,11
25839,9
25843,9
25845,4
25862,7
25871,4
25875,4
25878,31
25885,23
27001,1754
27006,94
27025,3584
27050,330
27073,214
27075,47
27077,579
27086,9
27099,73
27135,58
27150,37
27160,28
27205,158
27245,154
27250,1208
27361,699
27372,12
